Implementation    alpha    Eigenvalue
Own  		  0.125	   578.272
CBLAS 		  0.125	   578.272
Own  		  0.25	   651.046
CBLAS 		  0.25	   651.046
Own  		  0.5	   809.646
CBLAS 		  0.5	   809.646
Own  		  1	   1182.92
CBLAS 		  1	   1182.92
Own  		  1.5	   1615.84
CBLAS 		  1.5	   1615.84
Own  		  2	   2084.84
CBLAS 		  2	   2084.84
Own  		  4	   4094.39
CBLAS 		  4	   4094.39
Own  		  8	   8184.54
CBLAS 		  8	   8184.54
Own  		  16	   16368.2
CBLAS 		  16	   16368.2
